policy_label,policy_name,num_instances,cache_size_tokens_per_instance,request_count,input_tokens,output_tokens,total_tokens,simulated_cached_tokens,token_hit_rate,request_hit_rate,max_mean_req_count,max_mean_token_load,cv_req_count,cv_token_load,jain_req_count,jain_token_load,total_logical_cache_tokens,total_physical_cache_tokens,effective_replication_ratio,effective_cache_size_ratio,elapsed_sec,model,cache_size,load_metric,max_min_token_load,max_min_req_count,max_min_input_tokens,load_imbalance_pct
cache_first,cache_first,15,25000,4223356,135338664262,1147556664,136486220926,75982648216,0.5614260243392559,0.619338270323411,1.0147108129174998,1.0193416694548016,0.0096449681576302,0.0107811514258838,0.9999069832421604,0.9998837802825252,49566082966,57285731888,1.155744582990254,0.865243077681319,93.17976212501526,minimax_m25,25000,total_tokens,1.0397071165581064,1.029872428473071,1.029558785031275,1.9341669454801647
load_first,load_first,15,25000,4223356,135338664262,1147556664,136486220926,7832002377,0.0578696591968585,0.1125640367518153,1.0136488612373666,1.0175059677216098,0.0095197238110803,0.0100194955739182,0.9999093830707328,0.9998996197856432,49566082966,119006403401,2.400964455525622,0.416499293731143,66.60592865943909,minimax_m25,25000,total_tokens,1.0360388540809593,1.0368302314513755,1.0304567138920429,1.7505967721609839
round_robin,round_robin,15,25000,4223356,135338664262,1147556664,136486220926,6424389141,0.0474689858661758,0.0819201601759359,1.000003314899336,1.0127012292814637,8.859441133482333e-07,0.0053830474511429,0.9999999999992152,0.9999710236397924,49566082966,126495274885,2.5520530837946143,0.3918413791429107,49.05554127693176,minimax_m25,25000,total_tokens,1.02216142805317,1.0000035516660866,1.0061413108576707,1.2701229281463666
sticky,sticky,15,25000,4223356,135338664262,1147556664,136486220926,15809006790,0.116810719805802,0.1736962264133073,13.262437502308591,14.482048740665162,3.285277504319317,3.6034422321294346,0.0847957183100094,0.0715062275988493,49566082966,49566082966,1.0,1.0,49.60259366035461,minimax_m25,25000,total_tokens,188118.85425188224,3734134.0,128610504363.0,1348.2048740665161
cache_first,cache_first,15,50000,4223356,135338664262,1147556664,136486220926,78406108026,0.5793326574748429,0.6601127160485643,1.0179073229914788,1.0279659703066808,0.0118421629082117,0.0152623441991408,0.9998597828412642,0.9997671150975584,49566082966,55887843853,1.1275420712856496,0.8868848670628997,93.47996473312378,minimax_m25,50000,total_tokens,1.0508255360541483,1.036318141714517,1.035443822725809,2.79659703066808
load_first,load_first,15,50000,4223356,135338664262,1147556664,136486220926,10371017140,0.0766301130320224,0.1506306832765222,1.0136488612373666,1.017050313138669,0.0095197238110803,0.0097314202115487,0.9999093830707328,0.9999053084280092,49566082966,119006403401,2.400964455525622,0.416499293731143,66.54471492767334,minimax_m25,50000,total_tokens,1.0343476929683184,1.0368302314513755,1.0304567138920429,1.7050313138669004
round_robin,round_robin,15,50000,4223356,135338664262,1147556664,136486220926,6962821911,0.0514473964182237,0.0901380324083501,1.000003314899336,1.0125752846644014,8.859441133482333e-07,0.0053241598979335,0.9999999999992152,0.9999716541248924,49566082966,126495274885,2.5520530837946143,0.3918413791429107,49.03782272338867,minimax_m25,50000,total_tokens,1.0217367194607487,1.0000035516660866,1.0061413108576707,1.2575284664401387
sticky,sticky,15,50000,4223356,135338664262,1147556664,136486220926,20670662790,0.1527328712952566,0.2460595318036177,13.262437502308591,14.536484764127463,3.285277504319317,3.617943077372263,0.0847957183100094,0.0709747784106564,49566082966,49566082966,1.0,1.0,49.83714747428894,minimax_m25,50000,total_tokens,181491.19447677664,3734134.0,128610504363.0,1353.6484764127463
cache_first,cache_first,15,100000,4223356,135338664262,1147556664,136486220926,80533630524,0.5950526478382867,0.6942924063233126,1.0207380102458803,1.027325620021215,0.0108349653989731,0.0147021478907562,0.9998826173051176,0.9997838935594868,49566082966,54576546914,1.1010865424132252,0.9081938262621244,91.9355115890503,minimax_m25,100000,total_tokens,1.0507026997656022,1.0409691183182053,1.041490348995797,2.732562002121508
load_first,load_first,15,100000,4223356,135338664262,1147556664,136486220926,13725659912,0.1014171374222277,0.186878397179873,1.0136488612373666,1.0166446892388543,0.0095197238110803,0.0092012227093766,0.9999093830707328,0.9999153446677844,49566082966,119006403401,2.400964455525622,0.416499293731143,66.49238657951355,minimax_m25,100000,total_tokens,1.031899023690229,1.0368302314513755,1.0304567138920429,1.6644689238854316
round_robin,round_robin,15,100000,4223356,135338664262,1147556664,136486220926,7428591100,0.0548889051071104,0.0956705994000979,1.000003314899336,1.0128178272504949,8.859441133482333e-07,0.005412805145996,0.9999999999992152,0.999970702398826,49566082966,126495274885,2.5520530837946143,0.3918413791429107,48.81468105316162,minimax_m25,100000,total_tokens,1.0221800018900649,1.0000035516660866,1.0061413108576707,1.281782725049485
sticky,sticky,15,100000,4223356,135338664262,1147556664,136486220926,33953574902,0.250878602113804,0.3773442257768467,13.262437502308591,14.583100060187723,3.285277504319317,3.630374267246357,0.0847957183100094,0.0705237650221673,49566082966,49566082966,1.0,1.0,50.617107629776,minimax_m25,100000,total_tokens,161676.67033875154,3734134.0,128610504363.0,1358.3100060187724
