deepseek_v32.oracleGeneral LRB-BMR cache size     2059KiB, 7197399 req, miss ratio 0.6087, byte miss ratio 0.7077
deepseek_v32.oracleGeneral LRB-BMR cache size     4119KiB, 7197399 req, miss ratio 0.5839, byte miss ratio 0.6647
deepseek_v32.oracleGeneral LRB-BMR cache size    10299KiB, 7197399 req, miss ratio 0.5308, byte miss ratio 0.5831
deepseek_v32.oracleGeneral LRB-BMR cache size    20599KiB, 7197399 req, miss ratio 0.4712, byte miss ratio 0.4829
deepseek_v32.oracleGeneral LRB-BMR cache size    41199KiB, 7197399 req, miss ratio 0.4106, byte miss ratio 0.3722
deepseek_v32.oracleGeneral LRB-BMR cache size   102999KiB, 7197399 req, miss ratio 0.3723, byte miss ratio 0.3038
deepseek_v32.oracleGeneral LRB-BMR cache size   205999KiB, 7197399 req, miss ratio 0.3591, byte miss ratio 0.2775
deepseek_v32.oracleGeneral S3FIFO-0.1000-1 cache size      205KiB, 7197399 req, miss ratio 0.7035, byte miss ratio 0.7858
deepseek_v32.oracleGeneral S3FIFO-0.1000-1 cache size      411KiB, 7197399 req, miss ratio 0.6978, byte miss ratio 0.7668
deepseek_v32.oracleGeneral S3FIFO-0.1000-1 cache size     1029KiB, 7197399 req, miss ratio 0.6634, byte miss ratio 0.7385
deepseek_v32.oracleGeneral S3FIFO-0.1000-1 cache size     2059KiB, 7197399 req, miss ratio 0.6330, byte miss ratio 0.7094
deepseek_v32.oracleGeneral S3FIFO-0.1000-1 cache size     4119KiB, 7197399 req, miss ratio 0.6020, byte miss ratio 0.6757
deepseek_v32.oracleGeneral S3FIFO-0.1000-1 cache size    10299KiB, 7197399 req, miss ratio 0.5455, byte miss ratio 0.5925
deepseek_v32.oracleGeneral S3FIFO-0.1000-1 cache size    20599KiB, 7197399 req, miss ratio 0.4909, byte miss ratio 0.4956
deepseek_v32.oracleGeneral S3FIFO-0.1000-1 cache size    41199KiB, 7197399 req, miss ratio 0.4488, byte miss ratio 0.4251
deepseek_v32.oracleGeneral S3FIFO-0.1000-1 cache size   102999KiB, 7197399 req, miss ratio 0.4062, byte miss ratio 0.3546
deepseek_v32.oracleGeneral S3FIFO-0.1000-1 cache size   205999KiB, 7197399 req, miss ratio 0.3816, byte miss ratio 0.3129
deepseek_v32.oracleGeneral GDSF cache size      205KiB, 7197399 req, miss ratio 0.6260, byte miss ratio 0.7715
deepseek_v32.oracleGeneral GDSF cache size      411KiB, 7197399 req, miss ratio 0.6145, byte miss ratio 0.7493
deepseek_v32.oracleGeneral GDSF cache size     1029KiB, 7197399 req, miss ratio 0.6007, byte miss ratio 0.7270
deepseek_v32.oracleGeneral GDSF cache size     2059KiB, 7197399 req, miss ratio 0.5860, byte miss ratio 0.7067
deepseek_v32.oracleGeneral GDSF cache size     4119KiB, 7197399 req, miss ratio 0.5635, byte miss ratio 0.6762
deepseek_v32.oracleGeneral GDSF cache size    10299KiB, 7197399 req, miss ratio 0.5183, byte miss ratio 0.6092
deepseek_v32.oracleGeneral GDSF cache size    20599KiB, 7197399 req, miss ratio 0.4734, byte miss ratio 0.5323
deepseek_v32.oracleGeneral GDSF cache size    41199KiB, 7197399 req, miss ratio 0.4257, byte miss ratio 0.4414
deepseek_v32.oracleGeneral GDSF cache size   102999KiB, 7197399 req, miss ratio 0.3834, byte miss ratio 0.3550
deepseek_v32.oracleGeneral GDSF cache size   205999KiB, 7197399 req, miss ratio 0.3667, byte miss ratio 0.3154
deepseek_v32.oracleGeneral LHD cache size      205KiB, 7197399 req, miss ratio 0.6628, byte miss ratio 0.8174
deepseek_v32.oracleGeneral LHD cache size      411KiB, 7197399 req, miss ratio 0.6344, byte miss ratio 0.7848
deepseek_v32.oracleGeneral LHD cache size     1029KiB, 7197399 req, miss ratio 0.6053, byte miss ratio 0.7448
deepseek_v32.oracleGeneral LHD cache size     2059KiB, 7197399 req, miss ratio 0.5816, byte miss ratio 0.7116
deepseek_v32.oracleGeneral LHD cache size     4119KiB, 7197399 req, miss ratio 0.5557, byte miss ratio 0.6707
deepseek_v32.oracleGeneral LHD cache size    10299KiB, 7197399 req, miss ratio 0.5061, byte miss ratio 0.5856
deepseek_v32.oracleGeneral LHD cache size    20599KiB, 7197399 req, miss ratio 0.4530, byte miss ratio 0.4851
deepseek_v32.oracleGeneral LHD cache size    41199KiB, 7197399 req, miss ratio 0.4052, byte miss ratio 0.3879
deepseek_v32.oracleGeneral LHD cache size   102999KiB, 7197399 req, miss ratio 0.3696, byte miss ratio 0.3097
deepseek_v32.oracleGeneral LHD cache size   205999KiB, 7197399 req, miss ratio 0.3577, byte miss ratio 0.2815
deepseek_v32.oracleGeneral Sieve cache size      205KiB, 7197399 req, miss ratio 0.7374, byte miss ratio 0.8159
deepseek_v32.oracleGeneral Sieve cache size      411KiB, 7197399 req, miss ratio 0.6957, byte miss ratio 0.7775
deepseek_v32.oracleGeneral Sieve cache size     1029KiB, 7197399 req, miss ratio 0.6550, byte miss ratio 0.7460
deepseek_v32.oracleGeneral Sieve cache size     2059KiB, 7197399 req, miss ratio 0.6301, byte miss ratio 0.7181
deepseek_v32.oracleGeneral Sieve cache size     4119KiB, 7197399 req, miss ratio 0.6071, byte miss ratio 0.6855
deepseek_v32.oracleGeneral Sieve cache size    10299KiB, 7197399 req, miss ratio 0.5630, byte miss ratio 0.6197
deepseek_v32.oracleGeneral Sieve cache size    20599KiB, 7197399 req, miss ratio 0.5118, byte miss ratio 0.5361
deepseek_v32.oracleGeneral Sieve cache size    41199KiB, 7197399 req, miss ratio 0.4551, byte miss ratio 0.4396
deepseek_v32.oracleGeneral Sieve cache size   102999KiB, 7197399 req, miss ratio 0.3999, byte miss ratio 0.3456
deepseek_v32.oracleGeneral Sieve cache size   205999KiB, 7197399 req, miss ratio 0.3761, byte miss ratio 0.3046
deepseek_v32.oracleGeneral BeladySize cache size      205KiB, 7197399 req, miss ratio 0.5885, byte miss ratio 0.7137
deepseek_v32.oracleGeneral BeladySize cache size      411KiB, 7197399 req, miss ratio 0.5528, byte miss ratio 0.6619
deepseek_v32.oracleGeneral BeladySize cache size     1029KiB, 7197399 req, miss ratio 0.5061, byte miss ratio 0.5910
deepseek_v32.oracleGeneral BeladySize cache size     2059KiB, 7197399 req, miss ratio 0.4675, byte miss ratio 0.5254
deepseek_v32.oracleGeneral BeladySize cache size     4119KiB, 7197399 req, miss ratio 0.4264, byte miss ratio 0.4468
deepseek_v32.oracleGeneral BeladySize cache size    10299KiB, 7197399 req, miss ratio 0.3750, byte miss ratio 0.3335
deepseek_v32.oracleGeneral BeladySize cache size    20599KiB, 7197399 req, miss ratio 0.3539, byte miss ratio 0.2766
deepseek_v32.oracleGeneral BeladySize cache size    41199KiB, 7197399 req, miss ratio 0.3463, byte miss ratio 0.2555
deepseek_v32.oracleGeneral BeladySize cache size   102999KiB, 7197399 req, miss ratio 0.3437, byte miss ratio 0.2473
deepseek_v32.oracleGeneral BeladySize cache size   205999KiB, 7197399 req, miss ratio 0.3437, byte miss ratio 0.2473
